2023-01-12T12:54:24.385330+0300 DEBUG user input start
2023-01-12T12:54:49.714799+0300 INFO user input start
2023-01-12T12:59:01.754372+0300 INFO user input start
2023-01-12T14:06:22.812461+0300 INFO Евгений input start
2023-01-12T14:06:59.691654+0300 INFO ALEKSANDRA input start
2023-01-12T14:07:25.964467+0300 INFO ALEKSANDRA input start
2023-01-12T14:08:10.430661+0300 INFO ЕвгенийСафонов input start
2023-01-12T14:08:17.795387+0300 INFO Евгений Сафонов input start
2023-01-12T14:08:54.759491+0300 INFO ALEKSANDRA SAFONOVA input start
2023-01-12T14:09:30.236272+0300 INFO Евгений Сафонов use command start
2023-01-12T14:47:43.827591+0300 INFO ALEKSANDRA SAFONOVA use command start
2023-01-12T14:48:16.609878+0300 INFO Евгений Сафонов use command start
2023-01-12T14:48:27.369834+0300 INFO Евгений Сафонов use command start
2023-01-12T15:12:09.607927+0300 INFO Евгений Сафонов use command password
2023-01-12T15:12:24.095458+0300 INFO Евгений Сафонов use command add
2023-01-12T15:12:49.523577+0300 INFO The function check user`s input
2023-01-12T15:59:26.845739+0300 INFO Евгений Сафонов use command add
2023-01-12T15:59:31.173463+0300 INFO The function check user`s input
2023-01-12T16:00:29.599885+0300 INFO Евгений Сафонов use command start
2023-01-12T16:00:44.594433+0300 INFO Евгений Сафонов use command start
2023-01-12T16:01:33.590253+0300 INFO Евгений Сафонов use command add
2023-01-12T16:01:39.116954+0300 DEBUG The function check and added user`s input
2023-01-12T16:01:50.513484+0300 INFO Евгений Сафонов use command add
2023-01-12T16:02:08.142920+0300 DEBUG The function check and added user`s input
2023-01-12T16:04:32.105307+0300 INFO Евгений Сафонов use command add
2023-01-12T16:04:42.623947+0300 DEBUG The function check and added user`s input
2023-01-12T16:04:42.626959+0300 INFO user add date to DB
2023-01-12T16:13:23.352740+0300 INFO Евгений Сафонов use command password
2023-01-12T16:13:29.280882+0300 INFO User use the function generate_random_password
2023-01-12T16:16:17.012347+0300 INFO Евгений Сафонов use command weather
2023-01-12T16:17:41.588508+0300 INFO Евгений Сафонов use command weather
2023-01-12T16:17:47.585859+0300 INFO User use the function get_current_weather
2023-01-12T16:18:13.912025+0300 INFO Евгений Сафонов use command translate
2023-01-12T16:18:20.910251+0300 INFO User use the function get_your_translate
2023-01-12T16:18:53.512657+0300 INFO Евгений Сафонов use command translate
2023-01-12T16:18:56.926909+0300 ERROR User use the function get_your_translate
2023-01-12T16:19:28.892500+0300 INFO Евгений Сафонов use command get
2023-01-12T16:19:29.129340+0300 INFO user requested date from DB
2023-01-12T16:19:36.890403+0300 INFO Евгений Сафонов use command reminder
2023-01-12T16:19:37.164980+0300 INFO user requested date from DB
2023-01-12T16:20:56.447838+0300 INFO Евгений Сафонов use command reminder
2023-01-12T16:20:56.675626+0300 INFO user requested date from DB
2023-01-12T16:21:20.930940+0300 INFO Евгений Сафонов use command reminder
2023-01-12T16:21:21.163098+0300 INFO user requested date from DB
2023-01-12T16:22:11.441542+0300 INFO Евгений Сафонов use command reminder
2023-01-12T16:22:11.653053+0300 INFO user requested date from DB
2023-01-12T16:23:17.248071+0300 INFO Евгений Сафонов use command reminder
2023-01-12T16:23:17.501042+0300 INFO user requested date from DB
